image,Ground_Truth,Model_Response,BLEU_4,BERTScore_F1,SBERT_Sim,Length_Diff
sm_18.jpg,"You are facing a wide display of women’s sandals arranged on tall shelves. Signs above the shelves read “Flat 20” and “Flat 50,” showing discounted prices. A table with footwear sits low in the center, creating a knee-height obstacle. Stop briefly and turn slightly to avoid the table before moving/","In the image, there is a man standing in a shoe store, taking a picture of himself in the mirror. The store is filled with various shoe displays, including multiple rows of shoes on shelves and tables. Some shoes are placed closer to the man, while others are further away. There are several other people in the store, some of whom are browsing the shoe selection. A handbag can be seen in the store, placed near the right side of the image. The overall atmosphere of the store is busy and filled with people looking for the perfect pair of shoes.",0.0063,0.8478,0.4512,51
sm_19.jpg,"You are inside a busy shoe store with many people moving around. Shoe shelves line both sides at knee to waist height. Low benches for seating are placed near the center and right side, which may be hard to detect without a cane. Stop briefly and wait for people to pass, then proceed slowly while scanning the floor for benches and dropped items.","In the image, there is a group of people standing in a shoe store. They are surrounded by various shelves and racks filled with different types of shoes. The people are engaged in conversation and browsing the shoe selection. The shoes come in different sizes and styles, and the store appears to be well-stocked with a diverse range of options. The atmosphere seems to be lively and social, as the people interact with each other and explore the shoe store.",0.0047,0.8558,0.5256,17
sm_2.jpg,"You are inside a clothing store aisle facing racks of hanging clothes. On the rack directly ahead and slightly above chest height, there is a small rectangular sign attached to the clothing stand. The sign contains printed text that reads “Sale – flat 25 percent off.” This indicates a discount on the items hanging beneath it. Similar small sale tags may be placed above or between racks in this area. These signs do not block your path, but they indicate discounted items nearby. The floor remains flat and clear in front of you, though clothing racks narrow the walking space. If you are interested in discounted items, you can stop and reach forward to feel the clothes directly under the sign.","In front of you, there is a large store filled with various items. The store has a sale sign on display, indicating that there are discounts available. The store is well-lit, with lights illuminating the space. There are several people in the store, with one man standing near the center of the store, and another man standing closer to the right side of the store. They seem to be browsing the items available for sale. The store is filled with a wide variety of items, including clothing and other merchandise. There are multiple shelves and racks displaying the items, and a large number of items are placed throughout the store. The store appears to be well-stocked and offers a diverse selection of products for customers to choose from.",0.0426,0.8584,0.6467,7
sm_20.jpg,"You are near the store entrance with large glass doors directly ahead. In front of the glass, several suitcases are placed on the floor, forming a barrier. Reflections from outside may make the glass hard to detect by sound. Turn slightly left or right to go around the luggage and avoid walking straight into the glass doors.","In front of you, there is a large display of luggage and bags. The display consists of various suitcases and handbags, some of which are pink. There are also a couple of backpacks in the scene. 

There are several people in the area, with some standing near the luggage display and others scattered throughout the scene. A bicycle is also visible in the background, positioned on the left side of the image. Additionally, there is a person wearing a backpack, which is located towards the right side of the scene.",0.0224,0.8506,0.4014,33
sm_21.jpg,"You are inside a brightly lit footwear store, standing on a smooth tiled floor. In front of you is a glass wall or entrance with reflections from outside. To your left, there is a wooden bench at knee height, suitable for sitting. Directly ahead and slightly left, several suitcases are stacked together, some upright and some leaning; their wheels and corners extend into the walking area and may trip you if you move forward carelessly. To your right, there is open floor space, but a large suitcase edge is close to your path. Move slowly, keeping slightly to the right, and use your cane to scan low for suitcase wheels and bag edges before taking each step.","In front of you, there is a large display of luggage and shoes in a store. The luggage is arranged in various sizes and colors, with some suitcases placed on the floor and others stacked on top of each other. There are also several handbags and backpacks displayed in the store. There are multiple people in the store, browsing and shopping for their belongings. Some of them are closer to the front of the store, while others are scattered throughout the area. The store appears to be a popular destination for shoppers looking for luggage and shoes.",0.0218,0.8565,0.5661,-20
sm_22.jpg,"You are standing in a shoe store aisle facing a wall labeled “DON CARLOS,” where formal men’s shoes are displayed on horizontal shelves from waist height up to above head level. Several people are standing ahead and to your left, browsing shoes, which narrows the walking space. A low shoe display table is in front of you, about knee height, with loose shoes placed on top. On your right, shoes hang outward on angled racks at leg and waist level, which could brush against you. Pause briefly, then move forward slowly through the center, keeping your cane slightly ahead and to the right to detect hanging shoe edges and people’s feet.","In the image, there is a store filled with a large variety of shoes on display. The shoes are arranged on shelves and in racks, with some placed closer to the front and others further back. There are several people in the store, browsing and examining the shoes. Some of the individuals are standing closer to the front, while others are located near the back of the store. The overall atmosphere appears to be that of a shoe store, with customers exploring the diverse selection of footwear available.",0.0101,0.8542,0.6633,-23
sm_23.jpg,"You are facing a raised display platform holding sports shoes, positioned directly in front of you at shin to knee height. A long-padded bench is directly in front of you as well, blocking forward movement. Behind the display, there is a glass exit door marked “EXIT.” To your left, a large poster stands against the wall; to your right, a narrow table holds more shoes. Do not move straight ahead. Instead, turn slightly left or right, trace the edge of the bench with your cane, and follow it around before proceeding toward the exit area.","In front of you, there is a store with a large window display showcasing a variety of shoes. The shoes are arranged in different sections, with some placed on a bench and others on a table. The bench is red and located near the window display. There are also a few bottles visible in the scene, one near the top right corner and another near the top left corner. Additionally, there is a person standing in the background, possibly a customer or an employee.",0.0266,0.8599,0.5761,-11
sm_24.jpg,"You are inside a clothing store section with children’s outfits. To your left, clothes hang closely on racks from shoulder height down to knee level, with folded stacks below. In front of you stands a tall, narrow metal anti-theft gate. To your right, child-sized mannequins are positioned near the aisle, with one wearing a dress that extends outward at knee height. The walking area is clear but narrow. Move forward slowly, keeping your cane centered, and be careful of the metal gate and mannequins, which may be difficult to detect without scanning carefully.","In front of you, there is a large display of clothing in a store. The clothing is arranged on shelves and racks, with various sizes and colors. Some of the items include shirts, jeans, and dresses. The shirts are displayed in different sections of the store, while the jeans and dresses are placed together. The store appears to be well-organized and inviting for customers to browse and shop.",0.0165,0.8571,0.4713,-25
sm_25.jpg,"You are now outside a clothing store named “UROOJ,” standing on a brick or stone pavement that is uneven with visible cracks and small holes. Directly ahead, a motorcycle is parked near the entrance, partially blocking the path. To your right, street vendors and several people are gathered, creating noise and movement. The store entrance is slightly raised with a small step. Slow down, scan the ground carefully for broken pavement, and avoid moving straight ahead. Turn slightly left to find a clearer path or pause and wait for assistance before stepping toward the entrance.","In the image, there is a group of people standing outside a store, with some of them riding bicycles. The store appears to be a clothing shop, as there are several mannequins visible in the window. The people are gathered in front of the store, possibly waiting to enter or just socializing. Some of them are carrying handbags, indicating that they might be shopping or running errands. The scene is bustling with activity, and the people seem to be engaged in various activities.",0.0108,0.8538,0.5083,-12
sm_26.jpg,"You are standing inside a shop near the billing counter. Directly ahead is the counter, with people waiting close by. To your right, there is a rack of hanging belts at waist to knee height, marked with a 20% discount sign. The space is narrow and busy, so move slowly and slightly to the left for clearer space.","The scene is set on a street with a group of people riding motorcycles. There are several motorcycles in the image, with some riders wearing long dresses. The people are spread out along the street, with some closer to the foreground and others further back. In addition to the motorcyclists, there are a few people walking along the street, and a couple of individuals are standing near the motorcycles. The overall atmosphere appears to be lively and social, with people enjoying their time on the street.",0.012,0.8516,0.2141,28
sm_27.jpg,"You are standing inside a shop near the billing counter. Directly ahead is the counter, with people waiting close by. To your right, there is a person checking rack of hanging belts, marked with a 20% discount sign. The space is narrow and busy, so move slowly and slightly to the left for clearer space. There are people as obstacles so move your cane to detect obstacle in front of you for safe navigation.","In the image, there is a group of people gathered in a room, with some of them standing near a counter. The room appears to be a store, possibly a clothing store, as there are several people browsing through the items on display. There are a few people standing in the foreground, while others are positioned further back in the scene. A man is standing in front of a counter, possibly looking at a menu or a piece of paper. There are also a couple of handbags visible in the room, one near the center and the other towards the right side of the image. The overall atmosphere of the scene is that of a casual gathering or shopping experience, with people engaging with the items on display and interacting with each other.",0.0194,0.8478,0.4623,59
sm_28.jpg,"You are standing on a busy street at night, facing a brightly lit shoe and bag store directly ahead. Large illuminated signs above the entrance announce a winter savings sale with “50 percent off”, making the storefront stand out strongly against the darker surroundings. In front of you, motorcycles are moving across your path from left to right, some slowing and others continuing forward, while pedestrians pass very close to you, creating unpredictable movement. The road surface under your feet feels uneven and slightly rough, suggesting patches or worn areas. It is not safe to step forward yet. Pause where you are, keep your cane low to sense the ground, and listen carefully for gaps in the traffic. When the sound of motorcycles reduces and foot movement slows, move forward cautiously toward the store entrance, staying alert to vehicles and people crossing nearby.","In the image, there is a group of people standing in a room, possibly a store or a showroom. They are looking at a display of shoes, which are arranged on a table and on the floor. The people are positioned in various locations within the room, with some standing closer to the shoes and others further away. The overall atmosphere appears to be that of a shopping experience, with the individuals browsing and considering the available footwear options.",0.0057,0.8419,0.3174,-64
sm_29.jpg,"You are standing in a busy fresh produce section of a store. In front of you are metal shelves filled with fruits and vegetables arranged in rows at waist to chest height. Closest to you are watermelons and pomegranates, with apples and peaches placed slightly higher. To your left and right, other shoppers are standing close, making the space crowded. Bright overhead lights and hanging signs indicate this is the fruits and vegetables area. Move slowly, keep your cane low to detect shelf edges, and pause before stepping forward due to people and display corners nearby.","As a blind person, you are standing in a grocery store, surrounded by a variety of fruits and vegetables. In front of you, there is a large display of apples, with several different types and colors arranged neatly. You can also see a variety of oranges, placed in different sections of the store. There are several people in the store, some of them browsing the produce section, while others are walking around or engaging in conversation. A few of the people are standing close to the apples, possibly considering which ones to purchase. The overall atmosphere of the store is lively and bustling, with people going about their shopping activities.",0.0625,0.8674,0.6492,14
sm_3.jpg,"You are inside a clothing store aisle facing racks of hanging clothes. On the rack directly ahead and slightly above chest height, there is a small rectangular sign attached to the clothing stand. The sign contains printed text that reads “Sale - flat 25 percent off.” This indicates a discount on the items hanging beneath it. Similar small sale tags may be placed above or between racks in this area. These signs do not block your path, but they indicate discounted items nearby. The floor remains flat and clear in front of you, though clothing racks narrow the walking space. If you are interested in discounted items, you can stop and reach forward to feel the clothes directly under the sign.","As a blind person, I am standing in a room with a large number of clothes displayed on racks. The clothes are arranged in various sections, with some hanging from the ceiling and others placed on the floor. The room appears to be a clothing store or a warehouse, with the clothes being the main focus of the environment. The room is well-lit, which makes it easier to navigate and identify the different types of clothing.",0.0138,0.8535,0.4682,-45
sm_30.jpg,"You are standing in a busy fresh fruits and vegetables section. In front of you, metal display racks at waist height are filled with fruits such as apples, pomegranates, peaches, melons, and watermelons near the floor. A man in a green shirt is standing on your right, holding boxes, and another man is directly ahead selecting vegetables. More shoppers are close on your left, making the aisle narrow and crowded. Behind the fruit racks, shelves hold tomatoes, green chilies, cucumbers, potatoes, and onions. Move slowly, keep your cane low to detect rack edges, and be cautious of people moving suddenly around you.","In the image, there is a man standing in front of a fruit stand at a market. The stand is filled with a variety of fruits, including apples, oranges, and watermelons. The man is holding a box of oranges, and there are other people in the background, browsing the market and shopping for fresh produce. The overall atmosphere of the scene is lively and bustling, with people engaging in various activities related to the market.",0.0197,0.8735,0.6385,-27
sm_31.jpg,"You are facing a stacked display of cooking oil cartons inside a store. In front of you, boxes of Labbaik, Alpine, and Soya Supreme cooking oil are arranged from waist height down to the floor, with printed price signs above them, such as “2350,” “2375,” and “2740 rupees.” Several empty metal shopping carts are parked closely in front of the display, blocking direct forward movement. The floor is smooth, but cart wheels and metal edges are at cane level. To continue, move slowly, angle slightly to the left or right to pass the carts, and use your cane to locate a clear gap before stepping forward","In front of you, there is a grocery store with a variety of food items displayed. There are several carts filled with different products, including a cart with a stack of Alpine milk. The carts are arranged in a way that makes it easy for customers to browse and select their desired items. There are also a few people in the store, likely shopping or working. One person is located near the left side of the store, another person is in the middle, and the third person is on the right side. The store appears to be well-stocked and organized, providing a pleasant shopping experience for customers.",0.0443,0.8463,0.5635,1
sm_32.jpg,"You are standing at a supermarket checkout area. In front of you are multiple billing counters labeled Counter-1, Counter-2, and Counter-3, with Counter-3 directly ahead. Several people are standing in line at the counters, and staff members are behind the desks operating computers. A small yellow shopping cart is parked slightly to your left, and product racks line the right side near the counters. The floor changes from smooth tiles to a wooden-textured section near the checkout boundary. Move forward slowly, keep your cane low to detect counter edges and the cart, and pause to the side if someone steps back from the queue.","In the image, there is a young man standing in a store, possibly a grocery store, with his arms crossed. He is positioned near a counter, and there are several other people in the store as well. A yellow shopping cart is located towards the left side of the scene, and a TV is mounted on the wall in the background. There is also a keyboard and a mouse on a surface, possibly a computer or a cash register. The store appears to be a busy place with people engaged in various activities.",0.0376,0.8606,0.5983,-11
sm_33.jpg,"You are standing at a bakery counter inside a store. Directly ahead, a male staff member in an orange shirt is standing behind a counter with a computer system. On both your left and right, glass display cabinets contain cakes and pastries arranged on multiple shelves, with cabinet edges at knee to waist height. Shelves behind the counter hold boxed bakery items and stacked paper cups. The floor is smooth and clear, but the display cabinet corners are close. Move forward slowly toward the counter, keep your cane low to detect the glass cabinet edges, and stop about one arm’s length before the counter to interact with the staff member safely.","In front of you, there is a man standing behind a counter in a bakery. He is wearing an orange shirt and appears to be working at the bakery. The counter is filled with various cakes and pastries, showcasing a wide selection of baked goods. The bakery has a clean and organized atmosphere, with the man attending to the customers and the baked items on display.",0.0419,0.8742,0.6155,-45
sm_34.jpg,"You are inside a large store, standing in an open central area. Directly ahead is a wide staircase going up, with metal steps and railings on both sides. Beneath the stairs, bottled items are stored on low shelves. To your right, there is a pharmacy counter marked “Pharmacy” and “Counter-4,” with a staff member standing behind the counter. Several shopping carts are parked in rows near the pharmacy, partially narrowing the walking space. The floor changes from smooth tile to a wooden-textured surface, with tactile foot symbols on the ground. Move forward carefully, keep your cane low to detect the stair base and cart wheels, and stay slightly left if you want to pass safely without entering the pharmacy queue.","As a blind person, I am standing in a large room with a wooden floor. In front of me, there is a set of stairs leading upwards. The room is filled with various objects, including a large number of bottles scattered throughout the space. Some of these bottles are placed on shelves, while others are placed on the floor. There are several people in the room, with one person standing near the top of the stairs and another person located closer to the center of the room. A bicycle can be seen in the background, positioned towards the right side of the room. Additionally, there is a chair placed near the center of the room.",0.0193,0.8582,0.4785,-5
sm_35.jpg,"You are in a narrow supermarket aisle. Directly ahead, a young girl is pushing a small yellow shopping cart filled with groceries, partially blocking the path. On your left, there are open vegetable racks holding items like cauliflower, cabbage, and other greens, with metal basket edges at knee height. On your right, tall shelves display packaged food items such as biscuits and snacks. Further ahead, an adult man is standing near the produce section. The floor is smooth and clear but space is limited. Slow down, keep your cane low to detect the cart wheels and shelf edges, and wait or gently move slightly to one side before proceeding forward.","In the image, there is a young girl pushing a shopping cart down a grocery store aisle. She is surrounded by various food items, including multiple bottles placed on different shelves. There are also several carrots scattered throughout the scene, with some closer to the girl and others further away. In addition to the girl, there are three other people in the store, with one person standing near the left side of the image, another person on the right side, and the third person located in the middle of the scene. The store appears to be well-stocked with a variety of food items for the customers to choose from.",0.0252,0.8527,0.7016,-1
sm_36.jpg,"You are facing a tall supermarket shelf filled with biscuits, cookies, rusks, and snack packs. Multiple brands and varieties are visible, including chocolate cookies, assorted cookies, zeera sticks, lazo sticks, cake rusks, gluten-free cookies, coconut cookies, oats cookies, and pound cake. Boxes are neatly arranged from chest height down to near the floor. The aisle is clear with no people directly in front of you. You can safely step closer to read labels or reach items on the middle shelves; bend slightly for lower shelves.","As a blind person, you are standing in front of a grocery store display filled with various food items. The display is filled with different types of cookies, cakes, and other baked goods. There are multiple boxes of cookies, with some placed closer to the front and others further back. The cakes are arranged in a visually appealing manner, with some positioned closer to the front and others placed further back. The overall scene is a vibrant and colorful display of delicious treats, inviting customers to make a purchase.",0.0217,0.8563,0.6305,4
sm_37.jpg,"You are in a grocery aisle with tall shelves on both sides, stocked with tea, coffee, powdered drinks, and packaged beverages. Directly in front of you, a man is standing close to the right-side shelf, reading items; he partially blocks the path forward. On the shelves to your right are red tea packs, purple biscuit or drink boxes, and jars of coffee. To your left, the aisle continues toward a fresh produce area, where two more people are visible near vegetables. The floor is clear and smooth. To move ahead, wait for the person in front to step aside or gently shift slightly left and proceed with caution.","In the image, there is a man standing in a grocery store, looking at the snack food aisle. He is wearing a black shirt and appears to be browsing the snack options. The store has a variety of snacks, including chips, crackers, and other snack foods. There are also several bottles placed on the shelves, likely containing beverages or condiments. The man is positioned towards the center of the scene, and the grocery store seems to be well-stocked with a wide selection of snack foods.",0.0177,0.8583,0.6236,-23
sm_38.jpg,"You are standing in a household cleaning products aisle. Directly in front of you, a person wearing a maroon shirt and light blue jeans is standing very close to the shelf, with arms folded, partially blocking access to the products. The shelves on your left are filled with laundry detergents and washing powders, including brands like Surf Excel, Sunlight, and Brite, arranged from waist height down to the floor. On the right side of the aisle, more cleaning items and hanging packages are visible. The floor is clean and unobstructed. To continue or reach items, wait for the person to move slightly or step back and pass carefully on the right.","In the image, a person is standing in a grocery store, surrounded by various products. There are multiple bottles placed on shelves, with some located closer to the person and others further away. The person is wearing a red sweater and appears to be browsing the items in the store. The scene is bustling with activity, as the person navigates through the aisles and interacts with the products.",0.0178,0.8533,0.5869,-43
sm_39.jpg,"You are facing a tall central display rack filled with packaged biscuits and baked snacks. The top shelves contain Digestive Zero Sugar boxes in orange packaging. Below them are black Daydream chocolate cookie boxes, followed by Chip Hop chocolate cookies in brown packs. The lower shelves hold Butter Cookies in blue boxes and multiple stacks of Cake Rusk in red packaging near floor level. To your right, a narrow aisle continues, where a person is bending down and selecting items from a shelf, slightly narrowing the passage. The floor is clean and level. You can move forward by keeping slightly to the left of the rack and watching for the person on the right.","In front of you, there is a large display of various cakes and cookies. The cakes are arranged in a stack, with some boxes placed on the floor. The cookies are also displayed in a stack, with some boxes placed on the floor. The display is filled with a variety of cakes and cookies, making it an attractive sight for anyone visiting the store.",0.0064,0.8587,0.7293,-50
sm_4.jpg,"You are inside a clothing store, facing a rack of hanging clothes directly in front of you. The rack is filled with light and colorful garments arranged closely together. At about chest to head height on the rack, there is a small rectangular sign that reads 25 percent off, indicating a discount on the clothes hanging beneath it. The walking space in front of you is clear, and the floor is smooth and flat. You can stop here if you are interested in discounted items and reach forward to feel the clothing below the sign. Move slowly, as the rack edges extend slightly into the aisle.","In front of you, there is a large clothing store with a variety of shirts and dresses on display. The shirts are arranged in a rack, and the dresses are placed on a table. The store has a sign that reads 25% off or discount. The shirts are mostly orange and white, and the dresses come in different colors and patterns. The store appears to be well-stocked with a diverse selection of clothing items.",0.0264,0.8768,0.7552,-32
sm_40.jpg,"In the image, there is a man walking down a hallway in a grocery store. He is wearing a black shirt and appears to be looking at something in front of him. Another person is also present in the scene, standing further back in the store. The hallway is lined with various food items, including several bottles placed at different positions along the way. The overall atmosphere of the scene is that of a typical grocery store setting.","In the image, there is a man walking down a hallway in a grocery store. He is wearing a black shirt and appears to be looking at something in front of him. Another person is also present in the scene, standing further back in the store. The hallway is lined with various food items, including several bottles placed at different positions along the way. The overall atmosphere of the scene is that of a typical grocery store setting.",1.0,1.0,1.0,0
sm_41.jpg,"You are standing in front of a spice and seasoning shelf. The shelves are filled from eye level to waist height with jars and boxes labeled ginger paste, garlic paste, garam masala, white pepper, oregano, chili powder, meat tenderizer, corn flour, and mixed herbs. Price tags are fixed along the shelf edges. No people are directly in front of you, and the aisle appears clear. You can safely step closer to the shelf to read labels or reach for items at chest or waist level; items on the top shelf are slightly higher and may require careful stretching or assistance.","I am standing in a grocery store, surrounded by various food items and spices. In front of me, there is a shelf filled with different types of food, including canned goods and other packaged items. There are also several bottles placed on the shelf, likely containing condiments or beverages. The store appears to be well-stocked, with a wide variety of products available for purchase. The environment is organized and easy to navigate, making it a convenient place for shoppers to find what they need.",0.0178,0.8556,0.6451,-16
sm_42.jpg,"You are in a grocery aisle facing a well-lit shelf of boxed dessert items. A man is standing directly in front of you, slightly to the left, wearing a blue patterned shirt and dark trousers. He is reaching up and pointing toward items on the upper shelf, which holds Rafhan custard and jelly boxes in yellow, pink, and green packaging. Red shelf strips read “Har meetha banay aur bhi special.” To your left is a red promotional stand with bottled drinks. Your forward path is partially blocked by the person, so pause or shift slightly right if you want to move closer to the shelf or wait until he finishes selecting the item.","In the image, there is a man standing in front of a grocery store shelf, pointing at a product. The shelf is filled with various items, including multiple bottles of different sizes and shapes. The man appears to be focused on a specific product, possibly discussing its features or making a decision about purchasing it. The scene is set in a grocery store, with the man being the main subject of the image.",0.0206,0.8422,0.5855,-40
sm_43.jpg,"You are standing in a long grocery aisle. On your left, tall shelves are densely packed with instant noodles, sauces, and packaged foods arranged in rows. On your right is an open walking space with bright white flooring. Ahead of you, a young person dressed in black is walking toward you while looking down at items held in both hands, reading the packaging. The aisle is well-lit with linear ceiling lights, and the path forward is clear with enough space to pass by the person safely.","In the image, there is a woman standing in a grocery store, walking down an aisle. She is wearing a black shirt and appears to be looking at something on the floor. The store has a variety of food items, including multiple bottles placed throughout the aisle. The woman seems to be focused on her task, possibly searching for a specific product or checking the floor for any spills or debris.",0.0172,0.8658,0.6681,-15
sm_44.jpg,"You are standing near the end of a grocery aisle beside a tall black shelf on your left, stacked with red and green packaged food items labeled as “full meal pack.” Below them are dessert mixes such as jelly and custard. On your right, there is an open, clean white-tiled floor leading toward the checkout area. Ahead, stacks of bottled water and cardboard boxes are placed near the wall. A green sign on the right indicates a checkout counter (“Counter-5”). The area is brightly lit, uncluttered, and easy to navigate.","In front of you, there is a grocery store with a variety of food items. There are several shelves filled with different products, including a large number of red packages. The packages are arranged in various positions, with some placed higher and others lower. In addition to the red packages, there are multiple bottles of different sizes and shapes scattered throughout the store. Some bottles are placed on the shelves, while others are located on the floor. The store appears to be well-stocked, offering a diverse selection of products for customers to choose from.",0.0109,0.866,0.6616,4
sm_45.jpg,"You are standing within a store. To your left and two steps ahead, a person in a red shirt leans on a pink ice-cream freezer labeled “omoré,” holding a water bottle in front of you. Beverage refrigerators with Pepsi branding are behind the omore freezer.","In front of you, there is a pink and orange refrigerator with the word Omore written on it. The refrigerator is located in a store, and there are several bottles placed on top of it. Additionally, there is a person standing behind the refrigerator, possibly browsing the store or attending to the refrigerator. The person is wearing a red shirt.",0.0331,0.8805,0.7755,15
